X,Y,Z
0.058562,-0.054484,0.323786
-0.500816,-0.068824,-0.162350
-2.689836,-0.252954,-0.120005
2.217030,0.237916,-0.169019
-1.908189,-0.235510,-0.033112
1.780486,-0.436501,0.266749
0.590211,0.038369,0.036144
-1.483369,0.343999,0.331278
2.155129,-0.405528,-0.193259
1.164025,-0.224258,-0.135731
-2.223768,-0.308194,0.682841
2.040369,-0.162218,-0.743964
0.126843,0.502620,0.033741
-2.814510,0.012893,0.508859
1.263546,-0.246744,-0.516875
-0.385683,-0.210251,0.021549
-1.515174,-0.273051,0.798833
2.166081,0.314098,-0.326806
-1.898801,0.598476,0.060415
-0.451265,-0.087726,-0.249322
1.779919,0.025210,0.040278
-3.071959,0.229092,0.015363
3.508402,-0.253346,-0.178834
-1.862070,-0.054039,0.056720
2.407672,-0.268780,-0.188335
0.083637,0.243736,0.082524
-2.149536,0.156150,0.216913
0.873157,0.100134,0.105899
-5.964716,0.374027,0.747773
5.758551,-0.064913,-0.666837
-3.251517,-0.181824,0.448627
4.124315,-0.364822,-0.914906
-0.366155,0.102330,0.099214
-1.308236,0.050047,0.223688
2.516953,0.311910,-0.019100
-5.907859,0.783396,0.617135
5.034956,-0.227467,-0.473021
-4.283402,-0.187955,0.222623
4.376045,-0.147722,-0.795925
