X,Y,Z
0.223657,-0.074665,0.079422
-1.031630,0.124638,-1.697924
-0.249618,0.194900,0.982509
-1.649414,-0.383609,-1.185268
0.615011,0.845348,1.150097
0.465562,0.690180,0.765472
0.447589,-0.993508,-1.389396
0.999502,1.166024,1.456418
0.884711,0.067702,0.329331
-0.847014,-1.289070,-0.614413
0.072369,0.056818,0.010170
-0.619488,0.053060,0.571196
-0.940937,-0.096811,-0.468193
-0.464545,0.583749,0.733768
-2.025065,-0.688309,-1.154910
0.961545,-0.644213,-0.316322
1.201792,0.372520,0.112176
0.722950,-0.268000,-0.064769
0.219984,0.021819,-0.566466
0.614639,-0.659761,-0.257519
1.993873,0.289818,0.853016
-1.124013,0.433709,-0.145020
-0.471556,0.105881,-0.122823
-0.890800,-0.048447,-0.125382
0.046704,0.105360,0.689957
-0.465042,-0.016486,0.778992
-1.083644,-0.100037,-0.424366
-0.765854,-0.276648,-0.564971
-0.183018,0.394687,1.755912
0.377813,0.688871,1.722137
0.374387,-0.568139,-0.628714
1.077910,-0.090549,-0.413857
0.812637,-0.584172,0.735124
0.972955,0.363620,0.433771
1.938182,-0.171298,-0.832633
-0.307298,-0.383382,-1.083572
-0.495614,0.243108,-0.107553
0.268250,0.221546,0.186010
