X,Y,Z
0.357348,-0.190554,-0.214781
0.320239,-0.176171,-0.195502
-1.085423,-0.264366,1.906217
-5.246756,0.710809,-1.732790
5.590921,1.040166,1.450508
-4.048251,1.749669,1.275226
-0.113963,-2.009728,-6.422145
2.734305,2.695281,5.595042
-3.853516,0.175109,-4.380943
6.523552,0.699852,-3.921687
-3.755810,3.151501,3.389241
0.419124,-0.701632,-3.164858
0.972235,-0.105705,-0.923685
2.048567,-0.807788,0.721515
0.748758,-0.166615,0.720821
0.850877,-2.879640,2.024301
-0.431677,0.090188,1.444793
-0.947254,-0.854652,-1.120180
0.896537,0.532993,0.417146
0.009580,0.280162,1.298335
0.509376,0.447830,0.479484
0.026668,-0.764737,-1.009437
2.271622,-1.108215,-2.011416
-0.654169,-0.818200,0.633855
2.049138,-0.135310,0.223900
-2.247006,-0.683272,0.697316
-1.264854,-0.171907,1.076944
-5.385706,-0.619192,-4.559106
3.841026,3.128298,6.315068
-2.059889,-1.868037,-4.592886
4.139755,2.348983,3.220504
-4.076581,-0.515010,-1.843867
5.624706,2.341482,-0.463113
-4.070339,2.404158,0.300249
5.215320,1.463731,-4.082652
-4.156528,1.807668,1.522790
0.670815,-2.702613,-5.277807
-1.504544,3.723183,5.864196
-2.753562,-3.190817,-2.666400
1.946677,0.960598,5.349282
